Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"Allerton/Pelham Gardens, Bronx",Bus Station,Pharmacy,Deli / Bodega,Chinese Restaurant,Donut Shop,Sandwich Place,Plaza,Pizza Place,Liquor Store,Grocery Store
"Alphabet City, Manhattan",Coffee Shop,Japanese Restaurant,Pizza Place,Ice Cream Shop,Grocery Store,Juice Bar,Italian Restaurant,Bar,Speakeasy,American Restaurant
"Arden Heights, Staten Island",Trail,Construction & Landscaping,Asian Restaurant,Arts & Crafts Store,Bowling Alley,Dessert Shop,Farm,Fast Food Restaurant,Field,Filipino Restaurant
"Arrochar/Fort Wadsworth, Staten Island",Deli / Bodega,College Gym,Food Truck,Bus Stop,Park,Bar,Furniture / Home Store,Pizza Place,Historic Site,Event Service
"Astoria Park, Queens",Park,Playground,Deli / Bodega,Bar,Italian Restaurant,Pharmacy,Basketball Court,Tennis Stadium,Nail Salon,Steakhouse
"Astoria, Queens",Greek Restaurant,Thai Restaurant,Salon / Barbershop,Grocery Store,Chinese Restaurant,Bakery,Bar,Burger Joint,Bagel Shop,Café
"Auburndale, Queens",Café,Pet Store,Greek Restaurant,Korean Restaurant,Donut Shop,Mexican Restaurant,Bank,Modern Greek Restaurant,Pharmacy,Pizza Place
"Baisley Park, Queens",Chinese Restaurant,Pizza Place,Caribbean Restaurant,Fried Chicken Joint,African Restaurant,Bus Station,Park,Zoo,Flea Market,Fast Food Restaurant
"Bath Beach, Brooklyn",Japanese Restaurant,Pizza Place,Sandwich Place,Tanning Salon,Moving Target,Cantonese Restaurant,Peruvian Restaurant,Bank,Gymnastics Gym,Bagel Shop
"Battery Park City, Manhattan",Hotel,Park,Coffee Shop,Gym,Plaza,Memorial Site,Jewelry Store,Gourmet Shop,Shopping Mall,Performing Arts Venue
"Battery Park, Manhattan",Park,Mexican Restaurant,Gym,Donut Shop,Cocktail Bar,Bar,Gym / Fitness Center,Seafood Restaurant,Plaza,Monument / Landmark
"Bay Ridge, Brooklyn",Chinese Restaurant,Dessert Shop,Seafood Restaurant,Donut Shop,Noodle House,Rental Car Location,Tea Room,Wine Shop,Bubble Tea Shop,Fried Chicken Joint
"Bay Terrace/Fort Totten, Queens",Supermarket,Italian Restaurant,Sushi Restaurant,Salon / Barbershop,Liquor Store,Shipping Store,Ice Cream Shop,Insurance Office,Donut Shop,Fast Food Restaurant
"Bayside, Queens",Bar,Korean Restaurant,Sandwich Place,Ice Cream Shop,Asian Restaurant,Pizza Place,Coffee Shop,Thai Restaurant,Bakery,Pharmacy
"Bedford Park, Bronx",Chinese Restaurant,Pizza Place,Diner,Mexican Restaurant,Deli / Bodega,Bus Station,Park,Sandwich Place,Supermarket,Bar
"Bedford, Brooklyn",Bar,Cocktail Bar,Hotel,Italian Restaurant,American Restaurant,Bakery,Flea Market,Bowling Alley,Coffee Shop,Gym / Fitness Center
"Bellerose, Queens",Deli / Bodega,Spa,Hookah Bar,Grocery Store,Mobile Phone Shop,Gas Station,Bus Stop,Bus Station,Fish & Chips Shop,Financial or Legal Service
"Belmont, Bronx",Italian Restaurant,Pizza Place,Deli / Bodega,Bakery,Dessert Shop,Food & Drink Shop,Fish Market,Liquor Store,Cheese Shop,Mexican Restaurant
"Bensonhurst East, Brooklyn",Chinese Restaurant,Italian Restaurant,Sushi Restaurant,Ice Cream Shop,Liquor Store,Park,Asian Restaurant,Flower Shop,Donut Shop,Noodle House
"Bensonhurst West, Brooklyn",Bank,Cantonese Restaurant,Bakery,Mobile Phone Shop,Sushi Restaurant,Asian Restaurant,Chinese Restaurant,Bubble Tea Shop,Japanese Restaurant,Gourmet Shop
"Bloomfield/Emerson Hill, Staten Island",Ice Cream Shop,Go Kart Track,Chinese Restaurant,Bank,Pizza Place,Grocery Store,Pharmacy,Bus Stop,Donut Shop,Mini Golf
"Bloomingdale, Manhattan",Italian Restaurant,Coffee Shop,Gym / Fitness Center,Spa,Salon / Barbershop,French Restaurant,Hotel,Gym,Furniture / Home Store,Vegetarian / Vegan Restaurant
"Boerum Hill, Brooklyn",Bar,Dessert Shop,Bakery,Coffee Shop,Sandwich Place,Pizza Place,Dance Studio,Cosmetics Shop,Burger Joint,Lounge
"Borough Park, Brooklyn",Restaurant,Pizza Place,Fast Food Restaurant,Café,Bank,Hotel,Coffee Shop,Cheese Shop,Pharmacy,Deli / Bodega
"Breezy Point/Fort Tilden/Riis Beach, Queens",Theater,Snack Place,Food Truck,Beach,Sports Club,Bus Stop,Public Art,Pier,Baseball Field,National Park
"Briarwood/Jamaica Hills, Queens",Fast Food Restaurant,Fried Chicken Joint,Indian Restaurant,Donut Shop,Nail Salon,Caribbean Restaurant,Chinese Restaurant,Pet Store,Playground,Pharmacy
"Brighton Beach, Brooklyn",Eastern European Restaurant,Russian Restaurant,Mobile Phone Shop,Coffee Shop,Bakery,Supermarket,Grocery Store,Café,Theater,Beach
"Broad Channel, Queens",Deli / Bodega,Pizza Place,Other Nightlife,Dive Bar,Sporting Goods Shop,Zoo,Flower Shop,Farmers Market,Fast Food Restaurant,Field
"Bronx Park, Bronx",Pizza Place,Chinese Restaurant,Mexican Restaurant,Pharmacy,Deli / Bodega,Bank,Donut Shop,Metro Station,Coffee Shop,Trail
"Bronxdale, Bronx",Deli / Bodega,Chinese Restaurant,Pool Hall,Breakfast Spot,Garden,Bus Station,Moving Target,Paper / Office Supplies Store,Spanish Restaurant,Park
"Brooklyn Heights, Brooklyn",Deli / Bodega,Park,Yoga Studio,Pizza Place,Wine Shop,Cosmetics Shop,Gym,Bakery,Mexican Restaurant,Italian Restaurant
"Brooklyn Navy Yard, Brooklyn",Film Studio,Coffee Shop,Brewery,Bagel Shop,Photography Studio,Pier,Playground,Arts & Crafts Store,Café,Moving Target
"Brownsville, Brooklyn",Discount Store,Pizza Place,Grocery Store,Bank,Pharmacy,Metro Station,Park,Mobile Phone Shop,Gas Station,Gym / Fitness Center
"Bushwick North, Brooklyn",Discount Store,Spanish Restaurant,Smoothie Shop,Supermarket,Mobile Phone Shop,Coffee Shop,Cocktail Bar,Mediterranean Restaurant,Fast Food Restaurant,Hot Dog Joint
"Bushwick South, Brooklyn",Cocktail Bar,Coffee Shop,Italian Restaurant,Bar,Bakery,Deli / Bodega,Ice Cream Shop,Seafood Restaurant,Pizza Place,French Restaurant
"Cambria Heights, Queens",Caribbean Restaurant,Cosmetics Shop,Juice Bar,Restaurant,Nightclub,Food,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
"Canarsie, Brooklyn",Caribbean Restaurant,Food,Deli / Bodega,Sandwich Place,Metro Station,Pharmacy,Women's Store,Fruit & Vegetable Store,Bus Stop,Spa
"Carroll Gardens, Brooklyn",Italian Restaurant,Deli / Bodega,Coffee Shop,Bar,Yoga Studio,Pizza Place,Brewery,Record Shop,Ice Cream Shop,Church
"Central Harlem North, Manhattan",Caribbean Restaurant,Southern / Soul Food Restaurant,Cosmetics Shop,Clothing Store,Bank,French Restaurant,Pizza Place,Gym,Japanese Restaurant,Wine Shop
"Central Harlem, Manhattan",Pizza Place,Playground,Supermarket,Baseball Field,Bar,Bank,Gym,Farmers Market,Park,Halal Restaurant
"Central Park, Manhattan",Park,Hotel,Outdoor Sculpture,Zoo,Zoo Exhibit,American Restaurant,Art Museum,Italian Restaurant,Food Court,Women's Store
"Charleston/Tottenville, Staten Island",Italian Restaurant,Train Station,Deli / Bodega,Pizza Place,Thrift / Vintage Store,Flea Market,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
"Chinatown, Manhattan",Bakery,Chinese Restaurant,Ice Cream Shop,Bubble Tea Shop,Café,Cocktail Bar,Spa,Salon / Barbershop,Vietnamese Restaurant,Coffee Shop
"City Island, Bronx",Thrift / Vintage Store,Seafood Restaurant,Boat or Ferry,Harbor / Marina,Baseball Field,History Museum,Pizza Place,Bank,Bar,Deli / Bodega
"Claremont/Bathgate, Bronx",Fast Food Restaurant,Donut Shop,Pizza Place,Supermarket,Grocery Store,Spanish Restaurant,Liquor Store,Bank,Sandwich Place,American Restaurant
"Clinton East, Manhattan",Exhibit,Park,Outdoor Sculpture,Theater,Bridge,Monument / Landmark,Sculpture Garden,History Museum,Museum,Snack Place
"Clinton Hill, Brooklyn",Pizza Place,Café,Cocktail Bar,Italian Restaurant,Bakery,Deli / Bodega,Wine Shop,Bar,Playground,New American Restaurant
"Clinton West, Manhattan",Coffee Shop,Gym / Fitness Center,Plaza,Gym,Sandwich Place,Bakery,Hotel,Sushi Restaurant,Park,Deli / Bodega
"Co-Op City, Bronx",Baseball Field,Mobile Phone Shop,Discount Store,Shoe Store,Shopping Mall,Spanish Restaurant,Mexican Restaurant,Men's Store,Bakery,Bagel Shop
"Cobble Hill, Brooklyn",Italian Restaurant,Cocktail Bar,Playground,Wine Shop,Coffee Shop,Pizza Place,Japanese Restaurant,Men's Store,Bagel Shop,Restaurant
"College Point, Queens",Chinese Restaurant,Latin American Restaurant,Asian Restaurant,Pizza Place,Italian Restaurant,Diner,Pharmacy,Buffet,Supermarket,Deli / Bodega
"Columbia Street, Brooklyn",Food Truck,Park,Baseball Field,Farm,Furniture / Home Store,Pool,Brewery,Street Food Gathering,Performing Arts Venue,Gym / Fitness Center
"Coney Island, Brooklyn",Theme Park Ride / Attraction,Theme Park,Aquarium,Hot Dog Joint,Arcade,Bar,Beach,Pizza Place,Ice Cream Shop,Gym / Fitness Center
"Corona, Queens",Food Truck,Mexican Restaurant,Bakery,Café,Latin American Restaurant,Science Museum,Pizza Place,Playground,Museum,Park
"Country Club, Bronx",Sandwich Place,Athletics & Sports,Track,Dog Run,Park,Pizza Place,Harbor / Marina,Farmers Market,Fast Food Restaurant,Fish Market
"Crotona Park East, Bronx",Grocery Store,Discount Store,Donut Shop,Sandwich Place,Bus Stop,Metro Station,Thrift / Vintage Store,Trail,Shopping Mall,Pizza Place
"Crotona Park, Bronx",Pizza Place,Deli / Bodega,Tennis Court,Salon / Barbershop,Park,Grocery Store,Recreation Center,Sandwich Place,Bus Station,Field
"Crown Heights North, Brooklyn",Cocktail Bar,Coffee Shop,Italian Restaurant,Bar,Bakery,Deli / Bodega,Ice Cream Shop,Seafood Restaurant,Pizza Place,French Restaurant
"Crown Heights South, Brooklyn",Coffee Shop,Pizza Place,Caribbean Restaurant,Café,Cocktail Bar,Bagel Shop,Italian Restaurant,Burrito Place,Comic Shop,Bistro
"Cypress Hills, Brooklyn",Pizza Place,Latin American Restaurant,Gym / Fitness Center,Liquor Store,Discount Store,Donut Shop,Fried Chicken Joint,French Restaurant,Flea Market,Farmers Market
"DUMBO/Vinegar Hill, Brooklyn",Food Truck,Coffee Shop,Café,Art Gallery,Bar,Bike Rental / Bike Share,Gym,Men's Store,Park,Bookstore
"Douglaston, Queens",Deli / Bodega,Italian Restaurant,Thai Restaurant,Chinese Restaurant,Liquor Store,Spa,Parking,Cajun / Creole Restaurant,Greek Restaurant,Farmers Market
"Downtown Brooklyn/MetroTech, Brooklyn",Pizza Place,Coffee Shop,Sandwich Place,Burger Joint,Grocery Store,Gym,Juice Bar,Residential Building (Apartment / Condo),Park,Mexican Restaurant
"Dyker Heights, Brooklyn",Bakery,Bank,Spa,Pharmacy,Diner,Deli / Bodega,Clothing Store,Bagel Shop,Mobile Phone Shop,Café
"East Chelsea, Manhattan",Art Gallery,Coffee Shop,American Restaurant,Theater,Cupcake Shop,Restaurant,Park,Bagel Shop,Italian Restaurant,Grocery Store
"East Concourse/Concourse Village, Bronx",Fried Chicken Joint,Deli / Bodega,Grocery Store,Liquor Store,Metro Station,Donut Shop,Chinese Restaurant,Caribbean Restaurant,Pizza Place,Spanish Restaurant
"East Elmhurst, Queens",Pizza Place,Fried Chicken Joint,Donut Shop,Pharmacy,Chinese Restaurant,Café,Gourmet Shop,Movie Theater,Flower Shop,Bus Station
"East Flatbush/Farragut, Brooklyn",Deli / Bodega,Liquor Store,Supermarket,Nightclub,Music Venue,Business Service,Park,Performing Arts Venue,Gym,Caribbean Restaurant
"East Flatbush/Remsen Village, Brooklyn",Caribbean Restaurant,Bank,Grocery Store,Deli / Bodega,Sandwich Place,Fried Chicken Joint,Burger Joint,Mobile Phone Shop,Bakery,Chinese Restaurant
"East Flushing, Queens",Pizza Place,Korean Restaurant,Donut Shop,Indian Restaurant,Chinese Restaurant,Bar,Shoe Store,Spa,Vegetarian / Vegan Restaurant,Pet Store
"East Harlem North, Manhattan",Mexican Restaurant,Pizza Place,Sandwich Place,Bakery,Grocery Store,Spanish Restaurant,Burger Joint,Chinese Restaurant,Italian Restaurant,Pharmacy
"East Harlem South, Manhattan",Mexican Restaurant,Pizza Place,Sandwich Place,Bakery,Grocery Store,Spanish Restaurant,Burger Joint,Chinese Restaurant,Italian Restaurant,Pharmacy
"East New York, Brooklyn",Deli / Bodega,Metro Station,Pizza Place,Grocery Store,Plaza,Convenience Store,Fried Chicken Joint,Pharmacy,Art Gallery,Farm
"East New York/Pennsylvania Avenue, Brooklyn",Diner,Latin American Restaurant,Deli / Bodega,Bus Line,Caribbean Restaurant,Grocery Store,Playground,Lounge,Bakery,Donut Shop
"East Tremont, Bronx",Pizza Place,Bank,Park,Breakfast Spot,Donut Shop,Supermarket,Grocery Store,Pharmacy,Mobile Phone Shop,Shoe Store
"East Village, Manhattan",Coffee Shop,Japanese Restaurant,Pizza Place,Ice Cream Shop,Grocery Store,Juice Bar,Italian Restaurant,Bar,Speakeasy,American Restaurant
"East Williamsburg, Brooklyn",Deli / Bodega,Bakery,Bar,Coffee Shop,Concert Hall,Cocktail Bar,Mexican Restaurant,Donut Shop,Photography Studio,Sandwich Place
"Eastchester, Bronx",Caribbean Restaurant,Supermarket,Fast Food Restaurant,Pharmacy,Shopping Mall,Donut Shop,Grocery Store,Cocktail Bar,Asian Restaurant,Hotel
"Elmhurst, Queens",Thai Restaurant,Mexican Restaurant,Salon / Barbershop,Chinese Restaurant,South American Restaurant,Malay Restaurant,Cocktail Bar,Pizza Place,Bar,Vietnamese Restaurant
"Elmhurst/Maspeth, Queens",Donut Shop,Pizza Place,Gas Station,Dessert Shop,Asian Restaurant,Intersection,Baseball Field,Deli / Bodega,Women's Store,Park
"Eltingville/Annadale/Prince's Bay, Staten Island",Pizza Place,Pharmacy,Italian Restaurant,Harbor / Marina,Zoo,Flea Market,Farm,Farmers Market,Fast Food Restaurant,Field
"Erasmus, Brooklyn",Caribbean Restaurant,Bank,Juice Bar,Gym / Fitness Center,Mobile Phone Shop,Donut Shop,Playground,Southern / Soul Food Restaurant,Electronics Store,Vegetarian / Vegan Restaurant
"Far Rockaway, Queens",Beach,Park,Skate Park,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Financial or Legal Service
"Financial District North, Manhattan",Coffee Shop,Hotel,Memorial Site,Pizza Place,Gym / Fitness Center,Café,Sandwich Place,Juice Bar,Salad Place,Monument / Landmark
"Financial District South, Manhattan",Coffee Shop,Hotel,Memorial Site,Pizza Place,Gym / Fitness Center,Café,Sandwich Place,Juice Bar,Salad Place,Monument / Landmark
"Flatbush/Ditmas Park, Brooklyn",Burger Joint,Mexican Restaurant,Coffee Shop,Caribbean Restaurant,Sandwich Place,Bakery,Tapas Restaurant,Health Food Store,Filipino Restaurant,Bagel Shop
"Flatiron, Manhattan",Gym / Fitness Center,Italian Restaurant,Cosmetics Shop,Park,Outdoor Sculpture,Wine Shop,Grocery Store,Gym,Juice Bar,Cheese Shop
"Flatlands, Brooklyn",Pizza Place,Italian Restaurant,Bar,Bakery,Bagel Shop,Deli / Bodega,Sushi Restaurant,Rental Service,Flower Shop,Grocery Store
"Flushing Meadows-Corona Park, Queens",Mexican Restaurant,Food Truck,Museum,Latin American Restaurant,Science Museum,Café,Park,Street Food Gathering,Spanish Restaurant,South American Restaurant
"Flushing, Queens",Bubble Tea Shop,Korean Restaurant,Chinese Restaurant,Bakery,Hotpot Restaurant,Karaoke Bar,Gym / Fitness Center,Gym,Gift Shop,Food Court
"Fordham South, Bronx",Donut Shop,Grocery Store,Bank,Spanish Restaurant,Mobile Phone Shop,Pizza Place,Pharmacy,Fast Food Restaurant,Latin American Restaurant,Gym
"Forest Hills, Queens",Food Truck,Boxing Gym,Park,Yoga Studio,Cosmetics Shop,Bakery,Bank,Bar,Mediterranean Restaurant,Gym / Fitness Center
"Forest Park/Highland Park, Queens",Theme Park Ride / Attraction,Music Venue,Playground,Mexican Restaurant,Spa,Donut Shop,Pizza Place,Lounge,Spanish Restaurant,Baseball Field
"Fort Greene, Brooklyn",Italian Restaurant,Wine Shop,Coffee Shop,Playground,Restaurant,Pizza Place,Cocktail Bar,Yoga Studio,Opera House,Theater
"Fresh Meadows, Queens",American Restaurant,Shopping Mall,Bank,Kids Store,Department Store,Chinese Restaurant,Pizza Place,Coffee Shop,Pet Store,Mexican Restaurant
"Freshkills Park, Staten Island",Liquor Store,Grocery Store,Hardware Store,Harbor / Marina,Chinese Restaurant,Pizza Place,Event Space,Bar,Bagel Shop,Fruit & Vegetable Store
"Garment District, Manhattan",Hotel,Coffee Shop,Theater,Thai Restaurant,Burger Joint,Sandwich Place,American Restaurant,Music Venue,Italian Restaurant,Pizza Place
"Glen Oaks, Queens",Playground,Bus Station,Food Truck,Bakery,Park,Dog Run,Garden,Fountain,Football Stadium,Fast Food Restaurant
"Glendale, Queens",Chinese Restaurant,Deli / Bodega,Bar,Pizza Place,Bakery,Coffee Shop,Supermarket,Laundromat,Bagel Shop,Pharmacy
"Governor's Island/Ellis Island/Liberty Island, Manhattan",Boat or Ferry,Pier,American Restaurant,Monument / Landmark,History Museum,Souvenir Shop,Tourist Information Center,Ice Cream Shop,Food Court,Harbor / Marina
"Gowanus, Brooklyn",Furniture / Home Store,Art Gallery,Performing Arts Venue,Mexican Restaurant,Bagel Shop,Bar,Rock Club,Park,Wine Shop,Pie Shop
"Gramercy, Manhattan",Wine Shop,Bar,Italian Restaurant,Cosmetics Shop,Ice Cream Shop,Thrift / Vintage Store,Pizza Place,Japanese Restaurant,Grocery Store,Cheese Shop
"Gravesend, Brooklyn",Café,Japanese Restaurant,Sandwich Place,Pizza Place,Grocery Store,Asian Restaurant,Shipping Store,Lounge,Donut Shop,Dive Bar
"Great Kills Park, Staten Island",Trail,Lawyer,Bar,Performing Arts Venue,Dog Run,Mexican Restaurant,French Restaurant,Fountain,Farm,Farmers Market
"Great Kills, Staten Island",Pizza Place,Italian Restaurant,Nightclub,Bus Stop,Spanish Restaurant,Bar,Bakery,Bagel Shop,Mexican Restaurant,Train Station
"Green-Wood Cemetery, Brooklyn",Campground,Coffee Shop,Zoo,Factory,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio
"Greenpoint, Brooklyn",Sushi Restaurant,Yoga Studio,Italian Restaurant,Deli / Bodega,Donut Shop,Coffee Shop,Gym,New American Restaurant,Pizza Place,Bakery
"Greenwich Village North, Manhattan",Italian Restaurant,Sushi Restaurant,American Restaurant,Coffee Shop,Pizza Place,Café,Dessert Shop,Gym,Japanese Restaurant,Seafood Restaurant
"Greenwich Village South, Manhattan",Italian Restaurant,Sushi Restaurant,American Restaurant,Coffee Shop,Pizza Place,Café,Dessert Shop,Gym,Japanese Restaurant,Seafood Restaurant
"Grymes Hill/Clifton, Staten Island",Dog Run,Bus Stop,Zoo,Food,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Financial or Legal Service
"Hamilton Heights, Manhattan",Pizza Place,Mexican Restaurant,Coffee Shop,Café,Deli / Bodega,Sandwich Place,American Restaurant,Sushi Restaurant,Cocktail Bar,Caribbean Restaurant
"Hammels/Arverne, Queens",Beach,Gas Station,Sandwich Place,Boat or Ferry,Grocery Store,Playground,Donut Shop,Metro Station,Deli / Bodega,Diner
"Heartland Village/Todt Hill, Staten Island",Bus Stop,Sushi Restaurant,Pizza Place,Bagel Shop,Park,Flower Shop,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio
"Highbridge Park, Manhattan",Food Truck,Intersection,Bakery,Caribbean Restaurant,Asian Restaurant,Historic Site,Lounge,Shoe Store,Basketball Court,Skate Park
"Highbridge, Bronx",Supermarket,Chinese Restaurant,Playground,Deli / Bodega,Nightclub,Music Venue,Grocery Store,Gym,Metro Station,Pharmacy
"Hillcrest/Pomonok, Queens",Bus Station,Pharmacy,Liquor Store,Sandwich Place,Chinese Restaurant,Pizza Place,Latin American Restaurant,Bank,Bagel Shop,Pet Store
"Hollis, Queens",Fried Chicken Joint,Baseball Field,Chinese Restaurant,Lounge,Electronics Store,Park,Asian Restaurant,Shopping Mall,Discount Store,Fast Food Restaurant
"Homecrest, Brooklyn",Bank,Deli / Bodega,Sushi Restaurant,Bakery,Pharmacy,Pizza Place,Russian Restaurant,Food,Grocery Store,Farmers Market
"Howard Beach, Queens",Playground,Park,Concert Hall,Music Venue,Zoo,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio
"Hudson Sq, Manhattan",Italian Restaurant,Boutique,Coffee Shop,American Restaurant,Art Gallery,New American Restaurant,Café,Spa,Gym,Cocktail Bar
"Hunts Point, Bronx",Restaurant,Waste Facility,Farmers Market,Bank,Pizza Place,Gym / Fitness Center,Spanish Restaurant,BBQ Joint,Juice Bar,Football Stadium
"Inwood Hill Park, Manhattan",Bakery,Café,Park,Mexican Restaurant,Frozen Yogurt Shop,Deli / Bodega,Wine Shop,Wine Bar,Restaurant,American Restaurant
"Inwood, Manhattan",Pizza Place,Spanish Restaurant,Deli / Bodega,Wine Bar,Bank,Restaurant,Mexican Restaurant,American Restaurant,Latin American Restaurant,Bar
"JFK Airport, Queens",Coffee Shop,Zoo,Factory,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Financial or Legal Service
"Jackson Heights, Queens",Latin American Restaurant,Peruvian Restaurant,Park,Pharmacy,Mexican Restaurant,South American Restaurant,Bakery,Empanada Restaurant,Pizza Place,Fried Chicken Joint
"Jamaica Estates, Queens",Indian Restaurant,Beer Garden,Antique Shop,Zoo,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Financial or Legal Service
"Jamaica, Queens",Caribbean Restaurant,Vegetarian / Vegan Restaurant,Donut Shop,Bus Station,Coffee Shop,Sandwich Place,Shop & Service,Performing Arts Venue,Bakery,Fried Chicken Joint
"Kensington, Brooklyn",Bakery,Indian Restaurant,Coffee Shop,Convenience Store,Mexican Restaurant,Thai Restaurant,Pizza Place,Grocery Store,Caribbean Restaurant,Fried Chicken Joint
"Kew Gardens Hills, Queens",Sandwich Place,Convenience Store,Pizza Place,Ice Cream Shop,Sushi Restaurant,Bank,Middle Eastern Restaurant,Dessert Shop,Mexican Restaurant,Supermarket
