location,Latitude,Longitude
"Newark Airport, EWR",40.69287872,-74.18544769
"Jamaica Bay, Queens",40.61429214,-73.83826447
"Allerton/Pelham Gardens, Bronx",40.86392975,-73.84339142
"Alphabet City, Manhattan",40.72803879,-73.98499298
"Arden Heights, Staten Island",40.55413818,-74.17391205
"Arrochar/Fort Wadsworth, Staten Island",40.60659027,-74.06063843
"Astoria, Queens",40.7639122,-73.92502594
"Astoria Park, Queens",40.77629852,-73.92360687
"Auburndale, Queens",40.75843048,-73.78572083
"Baisley Park, Queens",40.67301941,-73.78543091
"Bath Beach, Brooklyn",40.60437012,-74.00485229
"Battery Park, Manhattan",40.70444107,-74.01425171
"Battery Park City, Manhattan",40.71131134,-74.01589966
"Bay Ridge, Brooklyn",40.63391113,-74.01490784
"Bay Terrace/Fort Totten, Queens",40.55205154,-74.13935089
"Bayside, Queens",40.76160049,-73.76763153
"Bedford, Brooklyn",40.71997004,-73.95545006
"Bedford Park, Bronx",40.86983871,-73.88587952
"Bellerose, Queens",40.73474884,-73.7203064
"Belmont, Bronx",40.85546112,-73.88568878
"Bensonhurst East, Brooklyn",40.61247,-73.99364
"Bensonhurst West, Brooklyn",40.60186005,-73.99389648
"Bloomfield/Emerson Hill, Staten Island",40.60837936,-74.1161499
"Bloomingdale, Manhattan",40.76187001,-73.96637007
"Boerum Hill, Brooklyn",40.68371964,-73.98178864
"Borough Park, Brooklyn",40.63381958,-73.99693298
"Breezy Point/Fort Tilden/Riis Beach, Queens",40.56729889,-73.88381958
"Briarwood/Jamaica Hills, Queens",40.71289825,-73.79828644
"Brighton Beach, Brooklyn",40.57794952,-73.96009827
"Broad Channel, Queens",40.60314941,-73.8214035
"Bronx Park, Bronx",40.85562134,-73.86975098
"Bronxdale, Bronx",40.85007858,-73.86682892
"Brooklyn Heights, Brooklyn",40.69535065,-73.99404907
"Brooklyn Navy Yard, Brooklyn",40.70199966,-73.96900177
"Brownsville, Brooklyn",40.66289902,-73.91728973
"Bushwick North, Brooklyn",40.69340134,-73.91941833
"Bushwick South, Brooklyn",40.68387985,-73.99571228
"Cambria Heights, Queens",40.69253922,-73.73184967
"Canarsie, Brooklyn",40.64363861,-73.90068817
"Carroll Gardens, Brooklyn",40.68019867,-74.00163269
"Central Harlem, Manhattan",40.81570367,-73.93444562
"Central Harlem North, Manhattan",40.80881119,-73.9479599
"Central Park, Manhattan",40.76745987,-73.97071075
"Charleston/Tottenville, Staten Island",40.51128006,-74.2505722
"Chinatown, Manhattan",40.71646118,-73.99675751
"City Island, Bronx",40.8470192,-73.7875824
"Claremont/Bathgate, Bronx",40.84698868,-73.89792633
"Clinton East, Manhattan",40.77803421,-73.96836853
"Clinton Hill, Brooklyn",40.68682098,-73.96469879
"Clinton West, Manhattan",40.71455002,-74.00714111
"Co-Op City, Bronx",40.87217712,-73.8263855
"Cobble Hill, Brooklyn",40.68978119,-73.99816895
"College Point, Queens",40.78409958,-73.84580994
"Columbia Street, Brooklyn",40.6719409,-74.00846939
"Coney Island, Brooklyn",40.57550049,-73.97844696
"Corona, Queens",40.74636841,-73.85482788
"Corona, Queens",40.74636841,-73.85482788
"Country Club, Bronx",40.84622955,-73.82070923
"Crotona Park, Bronx",40.83654022,-73.89775848
"Crotona Park East, Bronx",40.83359146,-73.8883667
"Crown Heights North, Brooklyn",40.68387985,-73.99571228
"Crown Heights South, Brooklyn",40.66878,-73.95576
"Cypress Hills, Brooklyn",40.68380356,-73.88336945
"Douglaston, Queens",40.76863098,-73.74733734
"Downtown Brooklyn/MetroTech, Brooklyn",40.69363022,-73.98287964
"DUMBO/Vinegar Hill, Brooklyn",40.70198059,-73.9828186
"Dyker Heights, Brooklyn",40.62133026,-74.0099411
"East Chelsea, Manhattan",40.74610138,-74.00045013
"East Concourse/Concourse Village, Bronx",40.83317947,-73.91398621
"East Elmhurst, Queens",40.76438904,-73.87402344
"East Flatbush/Farragut, Brooklyn",40.63690186,-73.93569946
"East Flatbush/Remsen Village, Brooklyn",40.65378952,-73.93080902
"East Flushing, Queens",40.75566101,-73.81027985
"East Harlem North, Manhattan",40.79828,-73.94081
"East Harlem South, Manhattan",40.79827881,-73.94081116
"East New York, Brooklyn",40.66643143,-73.88269043
"East New York/Pennsylvania Avenue, Brooklyn",40.675325,-73.896765
"East Tremont, Bronx",40.84539032,-73.8911438
"East Village, Manhattan",40.72803879,-73.98499298
"East Williamsburg, Brooklyn",40.70800018,-73.93990326
"Eastchester, Bronx",40.88259888,-73.82787323
"Elmhurst, Queens",40.74361038,-73.88433075
"Elmhurst/Maspeth, Queens",40.728302,-73.90781403
"Eltingville/Annadale/Prince's Bay, Staten Island",40.52196121,-74.19862366
"Erasmus, Brooklyn",40.64965503,-73.95263803
"Far Rockaway, Queens",40.59537125,-73.74490356
"Financial District North, Manhattan",40.70901108,-74.01061249
"Financial District South, Manhattan",40.70901108,-74.01061249
"Flatbush/Ditmas Park, Brooklyn",40.64030838,-73.96183014
"Flatiron, Manhattan",40.73942184,-73.99034882
"Flatlands, Brooklyn",40.62113953,-73.93527985
"Flushing, Queens",40.76358032,-73.83003998
"Flushing Meadows-Corona Park, Queens",40.74612045,-73.85279083
"Fordham South, Bronx",40.85945892,-73.9021225
"Forest Hills, Queens",40.72266006,-73.84790802
"Forest Park/Highland Park, Queens",40.70252991,-73.85453033
"Fort Greene, Brooklyn",40.69020462,-73.97467041
"Fresh Meadows, Queens",40.741539,-73.78328705
"Freshkills Park, Staten Island",40.55564117,-74.21395874
"Garment District, Manhattan",40.75439835,-73.99185181
"Glen Oaks, Queens",40.75114441,-73.71692657
"Glendale, Queens",40.70140839,-73.8871994
"Governor's Island/Ellis Island/Liberty Island, Manhattan",40.68988037,-74.0452652
"Governor's Island/Ellis Island/Liberty Island, Manhattan",40.68988037,-74.0452652
"Governor's Island/Ellis Island/Liberty Island, Manhattan",40.68988037,-74.0452652
"Gowanus, Brooklyn",40.67235947,-73.99027252
"Gramercy, Manhattan",40.73775864,-73.98510742
"Gravesend, Brooklyn",40.59756851,-73.96542358
"Great Kills, Staten Island",40.55416107,-74.15239716
"Great Kills Park, Staten Island",40.55649185,-74.12796021
"Green-Wood Cemetery, Brooklyn",40.65222168,-73.99111176
"Greenpoint, Brooklyn",40.72367096,-73.9510498
"Greenwich Village North, Manhattan",40.7285614,-74.00489044
"Greenwich Village South, Manhattan",40.7285614,-74.00489044
"Grymes Hill/Clifton, Staten Island",40.62338803,-74.08971965
"Hamilton Heights, Manhattan",40.82238007,-73.94967651
"Hammels/Arverne, Queens",40.59350967,-73.78907013
"Heartland Village/Todt Hill, Staten Island",40.59870911,-74.09918976
"Highbridge, Bronx",40.8384819,-73.92598724
"Highbridge Park, Manhattan",40.8469429,-73.93000031
"Hillcrest/Pomonok, Queens",40.73031998,-73.81028748
"Hollis, Queens",40.71200943,-73.76049042
"Homecrest, Brooklyn",40.59999847,-73.94999695
"Howard Beach, Queens",40.65483093,-73.84602356
"Hudson Sq, Manhattan",40.7234,-74.00616498
"Hunts Point, Bronx",40.81241989,-73.8844986
"Inwood, Manhattan",40.86595154,-73.92607117
"Inwood Hill Park, Manhattan",40.86986923,-73.92093658
"Jackson Heights, Queens",40.75731659,-73.88524628
"Jamaica, Queens",40.69973755,-73.79270935
"Jamaica Estates, Queens",40.71794891,-73.78269196
"JFK Airport, Queens",40.65375137,-73.78746033
"Kensington, Brooklyn",40.64627838,-73.97103119
"Kew Gardens, Queens",40.70864868,-73.82891083
"Kew Gardens Hills, Queens",40.73064041,-73.82408142
"Kingsbridge Heights, Bronx",40.87239075,-73.90154266
"Kips Bay, Manhattan",40.74213028,-73.97781372
"LaGuardia Airport, Queens",40.7740593,-73.87227631
"Laurelton, Queens",40.66691971,-73.75215149
"Lenox Hill East, Manhattan",40.76900101,-73.96199799
"Lenox Hill West, Manhattan",40.76900101,-73.96199799
"Lincoln Square East, Manhattan",40.77803421,-73.96836853
"Lincoln Square West, Manhattan",40.77803421,-73.96836853
"Little Italy/NoLiTa, Manhattan",40.72320175,-73.99530792
"Long Island City/Hunters Point, Queens",40.74444962,-73.95352173
"Long Island City/Queens Plaza, Queens",40.749125,-73.937795
"Longwood, Bronx",40.81745911,-73.89814758
"Lower East Side, Manhattan",40.71693039,-73.98423004
"Madison, Brooklyn",40.6975185,-73.910655
"Manhattan Beach, Brooklyn",40.57736969,-73.94773865
"Manhattan Valley, Manhattan",40.79935455,-73.96292114
"Manhattanville, Manhattan",40.8161087,-73.95610809
"Marble Hill, Manhattan",40.87641144,-73.91100311
"Marine Park/Floyd Bennett Field, Brooklyn",40.58110046,-73.88781738
"Marine Park/Mill Basin, Brooklyn",40.61109161,-73.90956879
"Mariners Harbor, Staten Island",40.63550186,-74.15921783
"Maspeth, Queens",40.728302,-73.90781403
"Meatpacking/West Village West, Manhattan",40.73497009,-74.00482941
"Melrose South, Bronx",40.82442856,-73.91069794
"Middle Village, Queens",40.718647,-73.8764267
"Midtown Center, Manhattan",40.75880051,-73.97290802
"Midtown East, Manhattan",40.74683996,-73.98359995
"Midtown North, Manhattan",40.77803421,-73.96836853
"Midtown South, Manhattan",40.74679184,-73.9836731
"Midwood, Brooklyn",40.6232605,-73.95652771
"Morningside Heights, Manhattan",40.81053162,-73.96205902
"Morrisania/Melrose, Bronx",40.82886124,-73.90679932
"Mott Haven/Port Morris, Bronx",40.8013382,-73.90995789
"Mount Hope, Bronx",40.84910965,-73.90628052
"Murray Hill, Manhattan",40.74855042,-73.97605133
"Murray Hill-Queens, Queens",40.99872971,-73.78806305
"New Dorp/Midland Beach, Staten Island",40.57284164,-74.0952301
"North Corona, Queens",40.75305939,-73.8611908
"Norwood, Bronx",40.87868881,-73.87928772
"Oakland Gardens, Queens",40.73949051,-73.75431824
"Oakwood, Staten Island",40.56389999,-74.11637115
"Ocean Hill, Brooklyn",40.60215,-74.11486
"Ocean Parkway South, Brooklyn",40.6036,-73.966845
"Old Astoria, Queens",40.7639122,-73.92502594
"Ozone Park, Queens",40.68011856,-73.8473587
"Park Slope, Brooklyn",40.67072678,-73.98057556
"Parkchester, Bronx",40.8391304,-73.86109161
"Pelham Bay, Bronx",40.85055542,-73.83333588
"Pelham Bay Park, Bronx",40.86334991,-73.80197144
"Pelham Parkway, Bronx",40.85443115,-73.86434174
"Penn Station/Madison Sq West, Manhattan",40.75059891,-73.99359894
"Port Richmond, Staten Island",40.63362885,-74.12893677
"Prospect-Lefferts Gardens, Brooklyn",40.65061188,-73.95387268
"Prospect Heights, Brooklyn",40.67747116,-73.96582794
"Prospect Park, Brooklyn",40.66046906,-73.96278381
"Queens Village, Queens",40.71562576,-73.74134827
"Queensboro Hill, Queens",40.74291992,-73.82061005
"Queensbridge/Ravenswood, Queens",40.75519562,-73.94533539
"Randalls Island, Manhattan",40.79529685,-73.92130808
"Red Hook, Brooklyn",40.67501831,-74.01023102
"Rego Park, Queens",40.72547531,-73.86136627
"Richmond Hill, Queens",40.69345093,-73.830513
"Ridgewood, Queens",40.70885086,-73.90023804
"Rikers Island, Bronx",40.79115677,-73.88263702
"Riverdale/North Riverdale/Fieldston, Bronx",40.89561081,-73.90084839
"Rockaway Park, Queens",40.57856369,-73.84096527
"Roosevelt Island, Manhattan",40.7645607,-73.94731903
"Rosedale, Queens",40.65940094,-73.74004364
"Rossville/Woodrow, Staten Island",40.54315948,-74.19760895
"Saint Albans, Queens",40.69329071,-73.75644684
"Saint George/New Brighton, Staten Island",40.64207077,-74.0933609
"Saint Michaels Cemetery/Woodside, Queens",40.74676132,-73.90289307
"Schuylerville/Edgewater Park, Bronx",40.82242966,-73.8102417
"Seaport, Manhattan",40.707144,-74.00452725
"Sheepshead Bay, Brooklyn",40.59012985,-73.94477081
"SoHo, Manhattan",40.72520065,-74.00415039
"Soundview/Bruckner, Bronx",40.82291031,-73.86827087
"Soundview/Castle Hill, Bronx",40.81983,-73.84822
"South Beach/Dongan Hills, Staten Island",40.58834076,-74.09648895
"South Jamaica, Queens",40.68093872,-73.79089355
"South Ozone Park, Queens",40.67544937,-73.81114197
"South Williamsburg, Brooklyn",40.71406937,-73.95362854
"Springfield Gardens North, Queens",40.68342433,-73.75112152
"Springfield Gardens South, Queens",40.6756989,-73.75112152
"Spuyten Duyvil/Kingsbridge, Bronx",40.88312149,-73.9033432
"Stapleton, Staten Island",40.62659073,-74.07637024
"Starrett City, Brooklyn",40.65014,-73.88444004
"Steinway, Queens",40.77376175,-73.90493774
"Stuy Town/Peter Cooper Village, Manhattan",40.73244095,-73.97770691
"Stuyvesant Heights, Brooklyn",40.68197922,-73.93184585
"Sunnyside, Queens",40.74243927,-73.92073822
"Sunset Park East, Brooklyn",40.64558029,-73.99456787
"Sunset Park West, Brooklyn",40.64558029,-74.03375244
"Sutton Place/Turtle Bay North, Manhattan",40.75835001,-73.95995003
"Times Sq/Theatre District, Manhattan",40.75888062,-73.9848175
"TriBeCa/Civic Center, Manhattan",40.71337128,-74.00379944
"Two Bridges/Seward Park, Manhattan",40.71416092,-73.98912048
"UN/Turtle Bay South, Manhattan",40.7592392,-73.96502686
"Union Sq, Manhattan",40.75267,-73.97652
"University Heights/Morris Heights, Bronx",40.85182953,-73.91625977
"Upper East Side North, Manhattan",40.78791046,-73.95716858
"Upper East Side South, Manhattan",40.75822067,-73.95716858
"Upper West Side North, Manhattan",40.80612183,-73.97319794
"Upper West Side South, Manhattan",40.77621078,-73.97319794
"Van Cortlandt Park, Bronx",40.8955307,-73.89665985
"Van Cortlandt Village, Bronx",40.88375092,-73.89414215
"Van Nest/Morris Park, Bronx",40.85284042,-73.85452271
"Washington Heights North, Manhattan",40.85546112,-73.93379211
"Washington Heights South, Manhattan",40.84231186,-73.9392395
"West Brighton, Staten Island",40.62744141,-74.10909271
"West Chelsea/Hudson Yards, Manhattan",40.75466156,-74.00378418
"West Concourse, Bronx",40.82762909,-73.92533112
"West Farms/Bronx River, Bronx",40.83975983,-73.87792969
"West Village, Manhattan",40.73497009,-74.00482941
"Westchester Village/Unionport, Bronx",40.82748032,-73.85070801
"Westerleigh, Staten Island",40.62102127,-74.13204956
"Whitestone, Queens",40.78841019,-73.81363678
"Willets Point, Queens",40.75844574,-73.84188843
"Williamsbridge/Olinville, Bronx",40.87783051,-73.86817169
"Williamsburg (North Side), Brooklyn",40.72510529,-73.95362854
"Williamsburg (South Side), Brooklyn",40.69817734,-73.95362854
"Windsor Terrace, Brooklyn",40.65396881,-73.97785187
"Woodhaven, Queens",40.69263077,-73.86102295
"Woodlawn/Wakefield, Bronx",40.8980484,-73.85328674
"Woodside, Queens",40.74676132,-73.90289307
"World Trade Center, Manhattan",40.71271133,-74.01193237
"Yorkville East, Manhattan",40.77808,-73.9385
"Yorkville West, Manhattan",40.77808,-73.9585
"NV, Unknown",40.71455002,-74.00714111
"nan, Unknown",40.71455002,-74.00714111
